timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740752986315,34,HTTP Request,200,OK,Thread Group 1-288,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,34,0,0
1740752986319,36,HTTP Request,200,OK,Thread Group 1-290,text,true,,307,257,19,19,http://localhost/exam/Exo1/src/api.php,36,0,1
1740752986317,38,HTTP Request,200,OK,Thread Group 1-289,text,true,,307,257,19,19,http://localhost/exam/Exo1/src/api.php,38,0,1
1740752986326,29,HTTP Request,200,OK,Thread Group 1-293,text,true,,307,257,19,19,http://localhost/exam/Exo1/src/api.php,29,0,1
1740752986322,33,HTTP Request,200,OK,Thread Group 1-291,text,true,,307,257,19,19,http://localhost/exam/Exo1/src/api.php,33,0,0
1740752986324,31,HTTP Request,200,OK,Thread Group 1-292,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,31,0,0
1740752986327,29,HTTP Request,200,OK,Thread Group 1-294,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,29,0,1
1740752986345,17,HTTP Request,200,OK,Thread Group 1-303,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,17,0,1
1740752986339,27,HTTP Request,200,OK,Thread Group 1-300,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,27,0,0
1740752986342,24,HTTP Request,200,OK,Thread Group 1-302,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,24,0,0
1740752986340,28,HTTP Request,200,OK,Thread Group 1-301,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,28,0,0
1740752986334,36,HTTP Request,200,OK,Thread Group 1-298,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,36,0,0
1740752986337,33,HTTP Request,200,OK,Thread Group 1-299,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,33,0,1
1740752986332,38,HTTP Request,200,OK,Thread Group 1-296,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,38,0,0
1740752986330,40,HTTP Request,200,OK,Thread Group 1-295,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,40,0,0
1740752986350,30,HTTP Request,200,OK,Thread Group 1-306,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,30,0,1
1740752986348,34,HTTP Request,200,OK,Thread Group 1-305,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,34,0,0
1740752986354,30,HTTP Request,200,OK,Thread Group 1-308,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,30,0,1
1740752986361,23,HTTP Request,200,OK,Thread Group 1-311,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,23,0,0
1740752986357,27,HTTP Request,200,OK,Thread Group 1-309,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,27,0,0
1740752986358,26,HTTP Request,200,OK,Thread Group 1-310,text,true,,307,257,17,17,http://localhost/exam/Exo1/src/api.php,26,0,1
1740752986353,33,HTTP Request,200,OK,Thread Group 1-307,text,true,,307,257,13,13,http://localhost/exam/Exo1/src/api.php,33,0,1
1740752986347,39,HTTP Request,200,OK,Thread Group 1-304,text,true,,307,257,13,13,http://localhost/exam/Exo1/src/api.php,39,0,0
1740752986377,15,HTTP Request,200,OK,Thread Group 1-318,text,true,,307,257,15,15,http://localhost/exam/Exo1/src/api.php,15,0,0
1740752986374,24,HTTP Request,200,OK,Thread Group 1-317,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,24,0,0
1740752986386,12,HTTP Request,200,OK,Thread Group 1-323,text,true,,307,257,16,16,http://localhost/exam/Exo1/src/api.php,12,0,0
